Scope 1, Part A: Direct Emissions from Stationary Combustion																				
This section includes emissions from all stationary combustion of fossil fuels purchased by the institution and combusted within the geographic and control boundaries established in the introduction																				
																				
																				
																				
Summary data (MTCDE emssions from biomass summarized below, see note below)																				
	MTCDEs by Fiscal Year															Note: FY24/25 are projected for  "what-if" purposes				Est YTD
Sources:	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY 11/12	FY 12/13	FY13/14	FY14/15	FY 15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	YTD 
#6 Fuel Oil	23,876	25,145	22,366	14,041	11,272	11,405	6,488.9	7,272.0	7,031.8	2,169.3	1,879.6	422.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#2 and Diesel	2,003	1,844	1,813	1,538	1,923	1,625	1,895.6	1,942.4	1,908.3	1,992.7	1,899.7	1,928.7	1,688.3	1,613.3	1,678.7	1,142.2	988.6	845.9	747.0	0.0
Propane	712	655	643	591	653	659	611.0	380.0	463.1	412.8	599.0	508.6	530.9	387.3	329.7	437.2	402.3	406.4	413.7	0.0
Natural Gas	0	0	0	0	0	0	0.0	0.0	0.0	3,763.4	3,018.3	4,391.9	5,068.2	4,433.3	6,104.6	6,396.7	4,323.1	3,259.5	935.6	116.2
Renewable Natural Gas 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biomass (Anthropogenic only)	0	0	42	181	247	207	273	333	320	255	283	267	278	239	199	202	231	243	288	88
TOTAL:	26,592	27,644	24,864	16,351	14,095	13,896	9,269	9,928	9,723	8,594	7,680	7,519	7,565	6,673	8,312	8,179	5,945	4,756	2,385	204
																				
#6 Fuel Oil																				
																				
Value/EF	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY 12/13	FY13/14	FY 14/15	FY 15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
#6 Fuel Oil (gal) *	2,040,108	2,148,533	1,911,015	1,199,687	963,126	974,460	554,442	621,351	600,831	185,359.0	160,598.0	36,132	0	0	0	0	0	0	0	0
MMBTUs of fuel	305,384.7	321,614.9	286,060.7	179,581.7	144,170.8	145,867.4	82,994.7	93,010.3	89,938.7	27,746.5	24,040.0	5,408.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Metric Tonnes CO2	23,806.8	25,072.0	22,300.4	13,999.6	11,239.1	11,371.3	6,470.0	7,250.8	7,011.3	2,163.0	1,874.1	421.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tonnes CH4	0.611	0.643	0.572	0.359	0.288	0.292	0.166	0.186	0.180	0.055	0.048	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MTCDE from CH4	12.8	13.5	12.0	7.5	6.1	6.1	3.5	3.9	3.8	1.2	1.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tonnes N2O	0.183	0.193	0.172	0.108	0.087	0.088	0.050	0.056	0.054	0.017	0.014	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MTCDE from N2O	56.8	59.8	53.2	33.4	26.8	27.1	15.4	17.3	16.7	5.2	4.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ΣMTCDE from #6 Fuel Oil	23,876.4	25,145.3	22,365.6	14,040.5	11,272.0	11,404.6	6,488.9	7,272.0	7,031.8	2,169.3	1,879.6	422.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
																				
#2 Fuel Oil / Off Road Diesel																				
																				
Value/EF	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY14/15	FY15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
Straight #2 Fuel Oil (gal) *	60,319.1	50,329.0	42,558.90	29,587.70	40,762.90	30,596	34,631	32,668	56,169	40,945	148,081	159,714	151,031	150,056	157,619	103,909	88,627	75,394	65,282	0
Breadloaf Campus #2 oil (gal)																		11,156		
B-20 Bioheat (gal) *	145,665.8	138,141.8	149,398	129,233.50	142,187.90	124,269	142,689	152,836	124,867	149,348	0	0	0	0	0	0	0	0	0	0
Off-Road Diesel (inc. blends) *	21,662.4	21,840.2	17,595.90	19,427.90	35,999.00	31,039	39,056	37,527	33,024	37,039	40,159	31,394	16,259	9,806	8,729	9,275	9,333	8,421	8,729	0
Total Bioheat	29,133.2	27,628.4	29,879.6	25,846.7	28,437.6	24,853.8	28,537.7	30,567.3	24,973.4	29,869.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Total #2 Fuel (gal)	198,514	182,683	179,673	152,402	190,512	161,050	187,837	192,464	189,087	197,462	188,240	191,108	167,290	159,862	166,348	113,184	97,960	83,815	74,011	0
MMBTUs of fuel	27,532.0	25,336.3	24,919.0	21,136.8	26,422.2	22,336.1	26,051.3	26,692.9	26,224.5	27,386.2	26,107.1	26,504.9	23,201.5	22,171.3	23,070.9	15,697.5	13,586.1	11,624.3	10,264.6	0.0
Metric Tonnes CO2	1,992.5	1,833.6	1,803.4	1,529.7	1,912.2	1,616.5	1,885.3	1,931.8	1,897.9	1,981.9	1,889.4	1,918.2	1,679.1	1,604.5	1,669.6	1,136.0	983.2	841.3	742.9	0.0
Tonnes CH4	0.275	0.253	0.249	0.211	0.264	0.223	0.261	0.267	0.262	0.274	0.261	0.265	0.232	0.222	0.231	0.157	0.136	0.116	0.103	0.000
MTCDE from CH4	5.78	5.32	5.23	4.44	5.55	4.69	5.47	5.61	5.51	5.75	5.48	5.57	4.87	4.66	4.84	3.30	2.85	2.44	2.16	0.00
Tonnes N2O	0.017	0.015	0.015	0.013	0.016	0.013	0.016	0.016	0.016	0.016	0.016	0.016	0.014	0.013	0.014	0.009	0.008	0.007	0.006	0.000
MTCDE from N2O	5.12	4.71	4.63	3.93	4.91	4.15	4.85	4.96	4.88	5.09	4.86	4.93	4.32	4.12	4.29	2.92	2.53	2.16	1.91	0.00
ΣMTCDE from #2 / diesel	2,003.4	1,843.6	1,813.3	1,538.1	1,922.7	1,625.3	1,895.6	1,942.4	1,908.3	1,992.7	1,899.7	1,928.7	1,688.3	1,613.3	1,678.7	1,142.2	988.6	845.9	747.0	0.0
																				
Propane																				
																				
Value/EF	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY 14/15	FY 15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
Propane (gal) *	123,902	114,043	111,960.20	102,932.67	113,634.00	114,751.40	106,340.80	66,131	80,602	71,843.00	104,242.00	88,510.00	92,405.00	67,420.00	57,371.00	76,104.00	70,030.30	70,716.00	72,000.00	
MMBTUs of fuel	11,280.0	10,380.0	10,190.0	9,370.0	10,350.0	10,450.0	9,680.0	6,020.0	7,340.0	6,540.0	9,490.0	8,060.0	8,410.0	6,140.0	5,220.0	6,930.0	6,380.0	6,440.0	6,560.0	0.0
Metric Tonnes CO2	707.4	651.1	639.2	587.7	648.8	655.2	607.2	377.6	460.2	410.2	595.2	505.4	527.6	384.9	327.6	434.5	399.8	403.8	411.1	0.0
Tonnes CH4	0.113	0.104	0.102	0.094	0.104	0.105	0.097	0.060	0.073	0.065	0.095	0.081	0.084	0.061	0.052	0.069	0.064	0.064	0.066	0.000
MTCDE from CH4	2.37	2.18	2.14	1.97	2.17	2.19	2.03	1.26	1.54	1.37	1.99	1.69	1.77	1.29	1.10	1.46	1.34	1.35	1.38	0.00
Tonnes N2O	0.00677	0.00623	0.00611	0.00562	0.00621	0.00627	0.00581	0.00361	0.00440	0.00392	0.00569	0.00484	0.00505	0.00368	0.00313	0.00416	0.00383	0.00386	0.00394	0.00000
MTCDE from N2O	2.10	1.93	1.90	1.74	1.93	1.94	1.80	1.12	1.37	1.22	1.77	1.50	1.56	1.14	0.97	1.29	1.19	1.20	1.22	0.00
ΣMTCDE from propane	711.9	655.2	643.2	591.4	652.9	659.3	611.0	380.0	463.1	412.8	599.0	508.6	530.9	387.3	329.7	437.2	402.3	406.4	413.7	0.0
																				
Natural Gas																				
																				
Value/EF	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY 14/15	FY 15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
NatGas (MCF)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70,395.0	56,457.0	82,149.0	94,801.0	82,926.0	114,187.0	119,649.0	80,864.4	60,969.0	17,500.0	2,175.0
MMBTUs of fuel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72,650.0	58,260.0	84,780.0	97,830.0	85,580.0	117,840.0	123,480.0	83,450.0	62,920.0	18,060.0	2,240.0
Metric Tonnes CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3,739.4	2,999.0	4,363.8	5,035.8	4,405.0	6,065.6	6,355.8	4,295.5	3,238.7	929.6	115.5
Tonnes CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0
MTCDE from CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.22	1.78	2.05	1.80	2.47	2.59	1.75	1.32	0.38	0.05
Tonnes N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.08	0.10	0.09	0.12	0.12	0.08	0.06	0.02	0.00
MTCDE from N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	18.1	26.3	30.3	26.5	36.5	38.3	25.9	19.5	5.6	0.7
ΣMTCDE from natural gas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3,763.4	3,018.3	4,391.9	5,068.2	4,433.3	6,104.6	6,396.7	4,323.1	3,259.5	935.6	116.2
																				
Renewable Natural Gas																				
																				
Value/EF	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY 14/15	FY 15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
RNatGas (MCF)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10,000.0	20,000.0	16,892.0	40,475.0	9,316.0
MMBTUs of fuel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10,320.0	20,640.0	17,430.0		
Metric Tonnes CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2	-0.5	-0.4	-1.0	-0.2
Tonnes CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTCDE from CH4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0
Tonnes N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTCDE from N2O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.4	0.0	0.0
ΣMTCDE from natural gas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.9	0.7	0.0	0.0
																				
Biomass (Note: CO2 emissions not included in totals per EPA/DOE/GHG Protocol determination that biogenic sources are carbon neutral)																				
																				
	FY06/07	FY07/08	FY08/09	FY09/10	FY10/11	FY11/12	FY12/13	FY13/14	FY14/15	FY15/16	FY 16/17	FY 17/18	FY 18/19	FY 19/20	FY 20/21	FY 21/22	FY 22/23	FY 23/24	FY 24/25	FY 24/26
Chips Gassified (Short Tons)	0	0	3,209	13,743	18,775	15,741	20,769	25,349	24,310	19,412	21,513	20,283	21,104	18,169	15,141	15,389	17,546	18,503	21,918	6,656
Dry Wood Weight (short tons)	0	0	1,925	8,246	11,265	9,445	12,461	15,209	14,586	11,647	12,908	12,170	12,662	10,901	9,085	9,233	10,528	11,102	13,151	3,994
MMBTUs of fuel	0	0	33,657	144,134	196,917	165,091	217,826	265,861	254,963	203,593	225,633	212,728	221,339	190,556	158,799	161,400	184,022	194,059	229,876	69,810
CO2 Emissions (kg)	0	0	3,157,745	13,522,844	18,475,047	15,489,055	20,436,785	24,943,465	23,921,040	19,101,408	21,169,274	19,958,472	20,766,336	17,878,296	14,898,744	15,142,776	17,265,264	18,206,952	21,567,312	6,549,720
CO2 Emissions (Metric Tons)	0	0	3,158	13,523	18,475	15,489	20,437	24,943	23,921	19,101	21,169	19,958	20,766	17,878	14,899	15,143	17,265	18,207	21,567	6,550
CH4 Emissions (g)	0	0	242,607	1,038,950	1,419,424	1,190,013	1,570,143	1,916,388	1,837,836	1,467,547	1,626,420	1,533,395	1,595,462	1,373,576	1,144,660	1,163,408	1,326,478	1,398,827	1,657,001	503,210
CH4 Emissions (Metric Tons)	0	0	0	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	2	1
CH4 Emissions (MTCDE)	0	0	6	26	35	30	39	48	46	37	41	38	40	34	29	29	33	35	41	13
N2O Emissions (g)	0	0	121,304	519,475	709,712	595,006	785,072	958,194	918,918	733,774	813,210	766,697	797,731	686,788	572,330	581,704	663,239	699,413	828,500	251,605
N2O Emissions (Metric Tons)	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
N2O Emissions (MTCDE)	0	0	36	155	211	177	234	286	274	219	242	228	238	205	171	173	198	208	247	75
Biogenic Emissions - CO2 (MTCDE)	0	0	3,158	13,523	18,475	15,489	20,437	24,943	23,921	19,101	21,169	19,958	20,766	17,878	14,899	15,143	17,265	18,207	21,567	6,550
Anthropogenic Emissions - CH4, N20 (MTCDE)	0	0	42	181	247	207	273	333	320	255	283	267	278	239	199	202	231	243	288	88
ΣMTCDE from wood (EPA)	0	0	3,200	13,704	18,722	15,696	20,710	25,277	24,241	19,357	21,452	20,225	21,044	18,117	15,098	15,345	17,496	18,450	21,856	6,637
																				
Formulaic numbers:																				
Standard coefficients:																				
barrels/gallon (1/42)	0.02381																			
tonne/gram (1/1x106)	1E-06																			
Tonne/kg (1/1,000)	0.001																			
CH4 GWP	21																			
N2O GWP	310																			
																				
#6 Fuel Oil:																				
MMBTU/gal #6 EF	0.1497																			
Tonnes CO2/gal #6 EF	0.01166938181																			
HC (MMBTU/bbl)	6.287																			
CCC (kg C/ MMBTU)	21.49																			
Fraction Oxidized	0.99																			
MW ratio (kg CO2/kg C)	3.664																			
CH4 EF (g gas/MMBTU)	2.00																			
N2O EF (g gas/MMBTU)	0.600																			
																				
#2 Fuel Oil/Off Road Diesel:																				
MMBTU/gal #2 EF	0.1387																			
Tonnes CO2/gal #2 EF	0.0100																			
HC (MMBTU/bbl)	5.825																			
CCC (kg C/ MMBTU)	19.95																			
Fraction Oxidized	0.99																			
CH4 EF (g gas/MMBTU)	10.0																			
N2O EF (g gas/MMBTU)	0.6																			
																				
Propane:																				
MMBTU/gal propane EF	0.0910																			
Tonnes CO2/gal propane EF	0.0057																			
HC (MMBTU/bbl)	3.824																			
CCC (kg C/ MMBTU)	17.2																			
Fraction Oxidized	0.995																			
CH4 EF (g gas/MMBTU)	10.0																			
N2O EF (g gas/MMBTU)	0.6																			
													EPA Climate Leaders 2016 Default Emissions factors							
Biomass	EPA Factors									BERC Factor			Fuel	Heat Content (HHV)	Heat Content (HHV)					
MMBTU/lb wood EF	0.00874									0.0087	EPA			(mmBtu/ton)	(mmBtu/ton)	(g CH4/ton)				
Tonnes CO2/lb wood EF	0.00082									0.000118	BERC									
HC (MMBTU/ton)	17.48	at 0% MC								17.48	EPA		Wood and wood Residuals	17.48	17.48	126				
CCC (kg C/ MMBTU)	0.30									28.09	EPA									
Fraction Oxidized	0.99									0.99			Biomass Energy Resource Center Emissions Factor for Woodchips							
CH4 EF (g gas/MMBTU)	7.21									7.21	EPA		29.58	lbs CO2/mmBtu	lbs CO2/mmBtu					
N2O EF (g gas/MMBTU)	#REF!									3.60	EPA									
													Future metrics 							
Kerosene													116.27	kgCO2/mmbtu for hardwood at 45% mc	kgCO2/mmbtu for hardwood at 45% mc					
Tonnes CO2/gal kerosene EF	0.01015									*From EPA's 'Emisson factors for GHG inventories' 2011			0.0010161998	tonneCO2/lb wood	tonneCO2/lb wood					
																				
																				
Natural Gas																				
HC (MMBTU/McF)	1.032																			
Tonnes CO2/McF NatGas EF	0.05312																			
CCC (kg C/MMBTU)	53.07																			
Fraction oxidized	0.995																			
CH4 EF (g CH4/MMBTU)	1																			
N2O EF (g N2O/MMBTU)	1																			
																				
Renewable Natural Gas																				
HC (MMBTU/McF)	1.032																			
Tonnes CO2/McF NatGas EF	-0.00002405	From AD1 Study																		
CCC (kg C/MMBTU)	53.07																			
Fraction oxidized	0.995																			
CH4 EF (g CH4/MMBTU)	1																			
N2O EF (g N2O/MMBTU)	1																			
																				
EIA	Pounds CO2	Kilograms CO2	Pounds CO2	Kilograms CO2																
Carbon Dioxide (CO2) Factors:	Per Thousand Cubic Feet	Per Thousand Cu. Ft.	Million Btu	Million Btu																
Natural Gas	117.1	53.12	117	53.07																
	120.96	54.87	116.65	52.91																
https://www.eia.gov/environment/emissions/co2_vol_mass.cfm																				
																				
In 2015, the average heat content of natural gas for the residential, commercial, and industrial sectors was about 1,032 Btu per cf; one Ccf = 103,200 Btu or 1.032 therms; one Mcf = 1.032 MMBtu or 10.32 therms.																				
