,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,,,,
#6 Fuel Oil (gal) *,2040108.0,2148533.0,1911015.0,1199687.0,963126.0,974460.0,554442.0,621351.0,600831.0,185359.0,160598.0,36132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Straight #2 Fuel Oil (gal) ,60319.1,50329.0,42558.9,29587.7,40762.9,30596.0,34631.0,32668.0,56169.0,40945.0,148081.0,159714.0,151031.0,150056.0,157619.0,103909.0,88627.0,75394.0,65282.0,,,,,,,,,,
Bioheat,29133.2,27628.4,29879.6,25846.7,28437.6,24853.8,28537.7,30567.3,24973.4,29869.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Total #2 Fuel (gal),198514.0,182683.0,179673.0,152402.0,190512.0,161050.0,187837.0,192464.0,189087.0,197462.0,188240.0,191108.0,167290.0,159862.0,166348.0,113184.0,97960.0,83815.0,74011.0,,,,,,,,,,
Propane (gal) *,123902.0,114043.0,111960.2,102932.7,113634.0,114751.4,106340.8,66131.0,80602.0,71843.0,104242.0,88510.0,92405.0,67420.0,57371.0,76104.0,70030.3,70716.0,72000.0,,,,,,,,,,
Natural_Gas (MCF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70395.0,56457.0,82149.0,94801.0,82926.0,114187.0,119649.0,80864.4,60969.0,17500.0,,,,,,,,,,
Renewable_Nat_Gas (MCF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,20000.0,16892.0,40475.0,,,,,,,,,,
MMBTUs of fuel(#6 Fuel Oil),"305,384.70","321,614.90","286,060.70","179,581.70","144,170.80","145,867.40","82,994.70","93,010.30","89,938.70","27,746.50","24,040.00","5,408.60",0,0,0,0,0,0,0,,,,,,,,,,
MMBTUs of fuel(offroad diesel),"27,532.00","25,336.30","24,919.00","21,136.80","26,422.20","22,336.10","26,051.30","26,692.90","26,224.50","27,386.20","26,107.10","26,504.90","23,201.50","22,171.30","23,070.90","15,697.50","13,586.10","11,624.30","10,264.60",,,,,,,,,,
MMBTUs of fuel(propane),"11,280.00","10,380.00","10,190.00","9,370.00","10,350.00","10,450.00","9,680.00","6,020.00","7,340.00","6,540.00","9,490.00","8,060.00","8,410.00","6,140.00","5,220.00","6,930.00","6,380.00","6,440.00","6,560.00",,,,,,,,,,
MMBTUs of fuel(natural gas),0,0,0,0,0,0,0,0,0,"72,650.00","58,260.00","84,780.00","97,830.00","85,580.00","117,840.00","123,480.00","83,450.00","62,920.00","18,060.00",,,,,,,,,,
MMBTUs of fuel(RNG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,320.00","20,640.00","17,430.00",,,,,,,,,,,