,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,FY2017,FY2018,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,,,,,,,
Scope1,26957.80,28036.60,25290.90,16689.20,14505.30,14253.40,9638.80,10326.00,10122.80,8935.50,8023.90,7855.30,7874.40,6903.50,8538.50,8438.40,6180.90,5025.00,2617.90,785.48,,,,,,
Scope2,634.80,980.30,904.60,177.20,510.60,436.20,858.90,891.60,1261.40,1356.70,1619.20,1090.50,469.30,174.10,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
Scope3,1826.00,2221.90,1866.40,1969.60,2571.20,2854.80,3167.20,3835.50,3622.10,3429.10,4010.00,4028.10,1396.10,2444.00,2441.80,490.01,1556.50,3125.90,3921.20,0.00,,,,,,
Offsets_Internal,,,,,,,,,,0.00,-13020.10,-12340.90,-9106.80,-9521.50,-10980.40,-8928.50,-7737.40,-8150.90,,,,,,,,
Offsets_External,-864.60,-595.10,-660.10,-539.60,-551.50,-551.40,-551.20,-644.60,-645.90,-634.00,-633.00,-633.00,-633.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,